Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
78103191,08.03.2024 15:30,sell,2.00,gbpusdc,1.28267,0.00000,0.00000,11.03.2024 15:56,1.28315,-10.00,0.00,-0.11,-96.00
78103516,08.03.2024 15:45,sell,2.00,gbpusdc,1.28823,0.00000,0.00000,11.03.2024 15:52,1.28347,-10.00,0.00,-0.11,952.00
78104076,08.03.2024 18:03,sell,2.00,gbpusdc,1.28713,0.00000,0.00000,11.03.2024 15:52,1.28350,-10.00,0.00,-0.11,726.00
78109356,13.03.2024 02:34,buy,0.01,gbpusdc,1.27954,0.00000,0.00000,13.03.2024 07:20,1.27924,-0.05,0.00,0.00,-0.30
78282533,16.04.2024 09:15,buy,0.50,gbpusdc,1.24211,0.00000,1.24236,16.04.2024 09:40,1.24236,-2.50,0.00,0.00,12.50
78284606,16.04.2024 09:45,buy,0.50,gbpusdc,1.24244,0.00000,1.24269,16.04.2024 09:50,1.24270,-2.50,0.00,0.00,13.00
78285502,16.04.2024 10:00,buy,0.50,gbpusdc,1.24316,0.00000,1.24341,16.04.2024 10:00,1.24341,-2.50,0.00,0.00,12.50
78282034,16.04.2024 05:00,buy,0.50,gbpusdc,1.24344,0.00000,1.24369,16.04.2024 08:24,1.24370,-2.50,0.00,0.00,13.00
78286345,16.04.2024 10:15,buy,0.50,gbpusdc,1.24352,0.00000,1.24377,16.04.2024 10:18,1.24378,-2.50,0.00,0.00,13.00
78290694,16.04.2024 18:00,sell,0.50,gbpusdc,1.24417,0.00000,1.24392,16.04.2024 18:14,1.24421,-2.50,0.00,0.00,-2.00
78282286,16.04.2024 08:30,buy,0.50,gbpusdc,1.24386,0.00000,1.24411,16.04.2024 09:00,1.24444,-2.50,0.00,0.00,29.00
78287218,16.04.2024 11:45,buy,0.50,gbpusdc,1.24427,0.00000,1.24452,16.04.2024 12:07,1.24452,-2.50,0.00,0.00,12.50
78290038,16.04.2024 17:00,sell,0.50,gbpusdc,1.24486,0.00000,1.24461,16.04.2024 17:30,1.24461,-2.50,0.00,0.00,12.50
78287008,16.04.2024 10:30,buy,0.50,gbpusdc,1.24441,0.00000,1.24466,16.04.2024 11:35,1.24470,-2.50,0.00,0.00,14.50
78287369,16.04.2024 12:30,buy,0.50,gbpusdc,1.24444,0.00000,1.24469,16.04.2024 12:47,1.24469,-2.50,0.00,0.00,12.50
78279067,15.04.2024 18:00,sell,0.50,gbpusdc,1.24502,0.00000,1.24477,15.04.2024 18:04,1.24476,-2.50,0.00,0.00,13.00
78278867,15.04.2024 17:30,sell,0.50,gbpusdc,1.24515,0.00000,1.24490,15.04.2024 17:45,1.24488,-2.50,0.00,0.00,13.50
78279152,15.04.2024 18:15,sell,0.50,gbpusdc,1.24517,0.00000,1.24492,15.04.2024 20:52,1.24403,-2.50,0.00,0.00,57.00
78287877,16.04.2024 15:30,sell,0.50,gbpusdc,1.24534,0.00000,1.24509,16.04.2024 16:55,1.24507,-2.50,0.00,0.00,13.50
78287815,16.04.2024 15:15,sell,0.50,gbpusdc,1.24551,0.00000,1.24526,16.04.2024 15:23,1.24524,-2.50,0.00,0.00,13.50
78287496,16.04.2024 13:15,buy,0.50,gbpusdc,1.24508,0.00000,1.24533,16.04.2024 14:50,1.24533,-2.50,0.00,0.00,12.50
78287290,16.04.2024 12:15,buy,0.50,gbpusdc,1.24512,0.00000,1.24537,16.04.2024 12:16,1.24539,-2.50,0.00,0.00,13.50
78287451,16.04.2024 13:00,buy,0.50,gbpusdc,1.24523,0.00000,1.24548,16.04.2024 13:08,1.24548,-2.50,0.00,0.00,12.50
78287753,16.04.2024 15:00,sell,0.50,gbpusdc,1.24579,0.00000,1.24554,16.04.2024 15:02,1.24554,-2.50,0.00,0.00,12.50
78278727,15.04.2024 17:15,sell,0.50,gbpusdc,1.24585,0.00000,1.24560,15.04.2024 17:21,1.24558,-2.50,0.00,0.00,13.50
78276256,15.04.2024 10:45,sell,0.50,gbpusdc,1.24648,0.00000,1.24623,15.04.2024 10:46,1.24623,-2.50,0.00,0.00,12.50
78275946,15.04.2024 09:00,sell,0.50,gbpusdc,1.24658,0.00000,1.24633,15.04.2024 09:01,1.24632,-2.50,0.00,0.00,13.00
78276042,15.04.2024 09:15,sell,0.50,gbpusdc,1.24659,0.00000,1.24634,15.04.2024 10:25,1.24632,-2.50,0.00,0.00,13.50
78276212,15.04.2024 10:30,sell,0.50,gbpusdc,1.24680,0.00000,1.24655,15.04.2024 10:32,1.24655,-2.50,0.00,0.00,12.50
78277031,15.04.2024 15:45,sell,0.50,gbpusdc,1.24684,0.00000,1.24659,15.04.2024 15:48,1.24659,-2.50,0.00,0.00,12.50
78278342,15.04.2024 17:00,sell,0.50,gbpusdc,1.24694,0.00000,1.24669,15.04.2024 17:03,1.24668,-2.50,0.00,0.00,13.00
78277780,15.04.2024 16:45,sell,0.50,gbpusdc,1.24737,0.00000,1.24712,15.04.2024 16:54,1.24712,-2.50,0.00,0.00,12.50
78276298,15.04.2024 11:00,sell,0.50,gbpusdc,1.24753,0.00000,1.24728,15.04.2024 15:30,1.24718,-2.50,0.00,0.00,17.50
78277451,15.04.2024 16:30,sell,0.50,gbpusdc,1.24786,0.00000,1.24761,15.04.2024 16:37,1.24759,-2.50,0.00,0.00,13.50
78277132,15.04.2024 16:00,sell,0.50,gbpusdc,1.24800,0.00000,1.24775,15.04.2024 16:23,1.24775,-2.50,0.00,0.00,12.50
78263380,11.04.2024 21:15,buy,0.50,gbpusdc,1.25606,0.00000,1.24901,15.04.2024 12:11,1.24901,-2.50,0.00,-1.48,-352.50
78265501,12.04.2024 09:45,buy,0.50,gbpusdc,1.25221,0.00000,1.24901,15.04.2024 12:11,1.24901,-2.50,0.00,-0.74,-160.00
78267661,12.04.2024 12:30,buy,0.61,gbpusdc,1.24918,0.00000,1.24901,15.04.2024 12:11,1.24902,-3.05,0.00,-0.90,-9.76
78268577,12.04.2024 15:45,buy,0.67,gbpusdc,1.24600,0.00000,1.24901,15.04.2024 12:11,1.24901,-3.35,0.00,-0.99,201.67
78270613,12.04.2024 17:30,buy,0.73,gbpusdc,1.24336,0.00000,1.24901,15.04.2024 12:11,1.24901,-3.65,0.00,-1.08,412.45
78276551,12.04.2024 09:45,buy,0.05,gbpusdc,1.25221,0.00000,1.24927,15.04.2024 12:47,1.24927,-0.25,0.00,-0.07,-14.70
78276576,15.04.2024 12:15,buy,0.55,gbpusdc,1.24873,0.00000,1.24927,15.04.2024 12:47,1.24927,-2.75,0.00,0.00,29.70
78261188,11.04.2024 17:30,buy,0.50,gbpusdc,1.25275,0.00000,1.25300,11.04.2024 18:51,1.25301,-2.50,0.00,0.00,13.00
78257545,11.04.2024 13:00,sell,0.50,gbpusdc,1.25347,0.00000,1.25322,11.04.2024 13:15,1.25316,-2.50,0.00,0.00,15.50
78257737,11.04.2024 13:45,sell,0.50,gbpusdc,1.25352,0.00000,1.25327,11.04.2024 13:46,1.25327,-2.50,0.00,0.00,12.50
78257674,11.04.2024 13:30,sell,0.50,gbpusdc,1.25385,0.00000,1.25360,11.04.2024 13:35,1.25358,-2.50,0.00,0.00,13.50
78257805,11.04.2024 14:00,sell,0.50,gbpusdc,1.25392,0.00000,1.25367,11.04.2024 14:21,1.25365,-2.50,0.00,0.00,13.50
78262347,11.04.2024 19:00,buy,0.50,gbpusdc,1.25346,0.00000,1.25371,11.04.2024 19:25,1.25371,-2.50,0.00,0.00,12.50
78262696,11.04.2024 19:30,buy,0.50,gbpusdc,1.25353,0.00000,1.25378,11.04.2024 19:48,1.25378,-2.50,0.00,0.00,12.50
78257898,11.04.2024 14:30,sell,0.50,gbpusdc,1.25410,0.00000,1.25385,11.04.2024 14:35,1.25385,-2.50,0.00,0.00,12.50
78260891,11.04.2024 17:15,sell,0.50,gbpusdc,1.25412,0.00000,1.25387,11.04.2024 17:15,1.25387,-2.50,0.00,0.00,12.50
78262901,11.04.2024 20:00,buy,0.50,gbpusdc,1.25375,0.00000,1.25400,11.04.2024 20:02,1.25408,-2.50,0.00,0.00,16.50
78260475,11.04.2024 17:00,sell,0.50,gbpusdc,1.25495,0.00000,1.25470,11.04.2024 17:00,1.25469,-2.50,0.00,0.00,13.00
78258066,11.04.2024 14:45,sell,0.50,gbpusdc,1.25360,0.00000,1.25501,11.04.2024 16:58,1.25496,-2.50,0.00,0.00,-68.00
78259473,11.04.2024 16:00,sell,0.55,gbpusdc,1.25676,0.00000,1.25501,11.04.2024 16:58,1.25496,-2.75,0.00,0.00,99.00
78263042,11.04.2024 20:15,buy,0.50,gbpusdc,1.25478,0.00000,1.25503,11.04.2024 20:43,1.25510,-2.50,0.00,0.00,16.00
78263180,11.04.2024 20:45,buy,0.50,gbpusdc,1.25514,0.00000,1.25539,11.04.2024 20:52,1.25540,-2.50,0.00,0.00,13.00
78257055,11.04.2024 11:30,buy,0.50,gbpusdc,1.25662,0.00000,1.25542,11.04.2024 15:30,1.25547,-2.50,0.00,0.00,-57.50
78257469,11.04.2024 12:45,buy,0.55,gbpusdc,1.25386,0.00000,1.25542,11.04.2024 15:30,1.25547,-2.75,0.00,0.00,88.55
78263242,11.04.2024 21:00,buy,0.50,gbpusdc,1.25544,0.00000,1.25569,11.04.2024 21:02,1.25570,-2.50,0.00,0.00,13.00
78251353,10.04.2024 17:45,buy,0.50,gbpusdc,1.25708,0.00000,1.25572,11.04.2024 10:21,1.25573,-2.50,0.00,-2.21,-67.50
78252542,10.04.2024 18:45,buy,0.55,gbpusdc,1.25401,0.00000,1.25572,11.04.2024 10:21,1.25573,-2.75,0.00,-2.43,94.60
78256302,11.04.2024 10:30,buy,0.50,gbpusdc,1.25565,0.00000,1.25590,11.04.2024 10:50,1.25591,-2.50,0.00,0.00,13.00
78256741,11.04.2024 11:00,buy,0.50,gbpusdc,1.25613,0.00000,1.25638,11.04.2024 11:00,1.25641,-2.50,0.00,0.00,14.00
78256899,11.04.2024 11:15,buy,0.50,gbpusdc,1.25661,0.00000,1.25686,11.04.2024 11:19,1.25687,-2.50,0.00,0.00,13.00
78086556,29.02.2024 21:00,buy,0.50,gbpusdc,1.26253,0.00000,1.26278,01.03.2024 02:56,1.26278,-2.50,0.00,-0.90,12.50
78087277,01.03.2024 09:30,buy,0.50,gbpusdc,1.26300,0.00000,1.26325,01.03.2024 09:33,1.26325,-2.50,0.00,0.00,12.50
78087317,01.03.2024 09:45,buy,0.50,gbpusdc,1.26315,0.00000,1.26340,01.03.2024 09:53,1.26340,-2.50,0.00,0.00,12.50
78087392,01.03.2024 10:00,buy,0.50,gbpusdc,1.26319,0.00000,1.26344,01.03.2024 10:11,1.26344,-2.50,0.00,0.00,12.50
78086847,01.03.2024 04:15,buy,0.50,gbpusdc,1.26337,0.00000,1.26362,01.03.2024 09:16,1.26362,-2.50,0.00,0.00,12.50
78087545,01.03.2024 10:15,buy,0.50,gbpusdc,1.26365,0.00000,1.26390,01.03.2024 10:17,1.26390,-2.50,0.00,0.00,12.50
78087677,01.03.2024 10:30,buy,0.50,gbpusdc,1.26368,0.00000,1.26393,01.03.2024 13:33,1.26393,-2.50,0.00,0.00,12.50
78234941,09.04.2024 20:00,sell,0.50,gbpusdc,1.26692,0.00000,1.26667,09.04.2024 20:14,1.26666,-2.50,0.00,0.00,13.00
78235055,09.04.2024 20:15,sell,0.50,gbpusdc,1.26660,0.00000,1.26782,10.04.2024 15:30,1.26614,-2.50,0.00,-0.17,23.00
78241055,10.04.2024 12:00,sell,0.55,gbpusdc,1.26940,0.00000,1.26782,10.04.2024 15:30,1.26614,-2.75,0.00,0.00,179.30
78238718,10.04.2024 08:00,buy,0.50,gbpusdc,1.26772,0.00000,1.26797,10.04.2024 09:21,1.26801,-2.50,0.00,0.00,14.50
78093957,05.03.2024 05:00,sell,0.50,gbpusdc,1.26849,0.00000,1.26824,05.03.2024 07:55,1.26824,-2.50,0.00,0.00,12.50
78239538,10.04.2024 10:15,buy,0.50,gbpusdc,1.26811,0.00000,1.26836,10.04.2024 10:30,1.26843,-2.50,0.00,0.00,16.00
78239132,10.04.2024 09:30,buy,0.50,gbpusdc,1.26814,0.00000,1.26839,10.04.2024 10:02,1.26842,-2.50,0.00,0.00,14.00
78093872,05.03.2024 04:30,sell,0.50,gbpusdc,1.26868,0.00000,1.26843,05.03.2024 04:47,1.26843,-2.50,0.00,0.00,12.50
78239748,10.04.2024 10:45,buy,0.50,gbpusdc,1.26847,0.00000,1.26872,10.04.2024 10:51,1.26874,-2.50,0.00,0.00,13.50
78093841,05.03.2024 04:00,sell,0.50,gbpusdc,1.26902,0.00000,1.26877,05.03.2024 04:26,1.26877,-2.50,0.00,0.00,12.50
78093556,04.03.2024 21:15,sell,0.50,gbpusdc,1.26909,0.00000,1.26884,04.03.2024 23:09,1.26884,-2.50,0.00,0.00,12.50
78093471,04.03.2024 19:15,sell,0.50,gbpusdc,1.26925,0.00000,1.26900,04.03.2024 21:06,1.26900,-2.50,0.00,0.00,12.50
78239950,10.04.2024 11:00,buy,0.50,gbpusdc,1.26889,0.00000,1.26914,10.04.2024 11:56,1.26914,-2.50,0.00,0.00,12.50
78241250,10.04.2024 12:15,buy,0.50,gbpusdc,1.26902,0.00000,1.26927,10.04.2024 12:27,1.26928,-2.50,0.00,0.00,13.00
78096423,05.03.2024 22:15,sell,0.50,gbpusdc,1.26966,0.00000,1.26941,06.03.2024 03:29,1.26941,-2.50,0.00,-0.03,12.50
78241524,10.04.2024 12:30,buy,0.50,gbpusdc,1.26929,0.00000,1.26954,10.04.2024 12:42,1.26960,-2.50,0.00,0.00,15.50
78096369,05.03.2024 22:00,sell,0.50,gbpusdc,1.27017,0.00000,1.26992,05.03.2024 22:11,1.26992,-2.50,0.00,0.00,12.50
78096320,05.03.2024 21:15,sell,0.50,gbpusdc,1.27040,0.00000,1.27015,05.03.2024 21:47,1.27015,-2.50,0.00,0.00,12.50
78096183,05.03.2024 20:30,sell,0.50,gbpusdc,1.27052,0.00000,1.27027,05.03.2024 21:05,1.27027,-2.50,0.00,0.00,12.50
78096778,06.03.2024 04:00,sell,0.50,gbpusdc,1.26924,0.00000,1.27064,06.03.2024 14:59,1.27064,-2.50,0.00,0.00,-70.00
78097460,06.03.2024 10:15,sell,0.67,gbpusdc,1.27212,0.00000,1.27064,06.03.2024 14:59,1.27064,-3.35,0.00,0.00,99.16
78096107,05.03.2024 19:00,sell,0.50,gbpusdc,1.27092,0.00000,1.27067,05.03.2024 20:18,1.27067,-2.50,0.00,0.00,12.50
78096048,05.03.2024 18:45,sell,0.50,gbpusdc,1.27103,0.00000,1.27078,05.03.2024 18:45,1.27078,-2.50,0.00,0.00,12.50
78095981,05.03.2024 18:15,sell,0.50,gbpusdc,1.27197,0.00000,1.27172,05.03.2024 18:38,1.27172,-2.50,0.00,0.00,12.50
78095705,05.03.2024 17:30,sell,0.50,gbpusdc,1.27201,0.00000,1.27176,05.03.2024 17:39,1.27176,-2.50,0.00,0.00,12.50
78095748,05.03.2024 17:45,sell,0.50,gbpusdc,1.27265,0.00000,1.27240,05.03.2024 18:03,1.27240,-2.50,0.00,0.00,12.50
78097980,06.03.2024 15:00,sell,0.50,gbpusdc,1.27068,0.00000,1.27246,07.03.2024 04:29,1.27246,-2.50,0.00,-0.08,-89.00
78098929,06.03.2024 18:00,sell,0.67,gbpusdc,1.27422,0.00000,1.27246,07.03.2024 04:29,1.27246,-3.35,0.00,-0.11,117.92
78097736,06.03.2024 12:30,buy,0.50,gbpusdc,1.27245,0.00000,1.27270,06.03.2024 13:58,1.27270,-2.50,0.00,0.00,12.50
78115996,14.03.2024 20:00,buy,0.50,gbpusdc,1.27490,0.00000,1.27515,14.03.2024 20:03,1.27515,-2.50,0.00,0.00,12.50
78116123,14.03.2024 23:30,buy,0.50,gbpusdc,1.27524,0.00000,1.27549,15.03.2024 06:44,1.27370,-2.50,0.00,-0.74,-77.00
78116027,14.03.2024 20:15,buy,0.50,gbpusdc,1.27528,0.00000,1.27553,14.03.2024 23:00,1.27557,-2.50,0.00,0.00,14.50
78110682,13.03.2024 12:45,sell,0.50,gbpusdc,1.27782,1.27932,1.27757,13.03.2024 13:00,1.27756,-2.50,0.00,0.00,13.00
78110557,13.03.2024 12:30,sell,0.50,gbpusdc,1.27846,1.27998,1.27821,13.03.2024 12:33,1.27821,-2.50,0.00,0.00,12.50
78109924,13.03.2024 10:30,buy,0.67,gbpusdc,1.27833,0.00000,1.27858,13.03.2024 10:48,1.27863,-3.35,0.00,0.00,20.10
